Sentiment,Text Tweet
positive,<USER_MENTION> #BOIKOT_<PROVIDER_NAME> Gunakan Produk Bangsa Sendiri <PROVIDER_NAME>
positive,"Saktinya balik lagi, alhamdulillah :v <PROVIDER_NAME>"
negative,Selamat pagi <PROVIDER_NAME>  bisa bantu kenapa di dalam kamar sinyal 4G hilang yang 1 lagi panggilan darurat saja  <URL>
negative,Dear <PROVIDER_NAME> akhir2 ini jaringan data lemot banget padahal H+ !!!!
negative,Selamat malam PENDUSTA <PROVIDER_NAME> 
negative,Untuk penembakan paket dari <PRODUCT_NAME> masih gangguan ya <PROVIDER_NAME>
positive,"<PROVIDER_NAME>  aku pakai <PROVIDER_NAME>, paket <PRODUCT_NAME> nya udah off tapi gantinya ada paket <PRODUCT_NAME> yg bisa gratisan youtube, senang banget <PROVIDER_NAME>"
negative,RT <USER_MENTION>: <PROVIDER_NAME> tak ada lagi dalam kamus perhapean saya. #Boikot<PROVIDER_NAME> <URL>
negative,keluhan gak ditanggapi. bikin emosi aja. pulsaku dicuri terus. soak deh. masa setiap hari pulsa berkurang 1500-2100 bisa 2-3*/hari
negative,#Bilboard iklan <PROVIDER_NAME> kok ada pesan tersembunyi? #Boikot<PROVIDER_NAME> #Ramadhan <URL>
negative,"<PROVIDER_NAME> mampus!!!!! bulan puasa, subuh2 mau sahur cek pulsa tersedot terus. dan sekarang sisa 30 ribu <PROVIDER_NAME> Tolong dibaca!!!"
negative,<USER_MENTION> Pernah coba pakai <PROVIDER_NAME> tapi parah koneksinya 
negative,"Setuju, <USER_MENTION> silahkan boikot saja pelanggan <PROVIDER_NAME> pendukung #HRS <URL>"
negative,"Dibela belain daftarin kartu 4G tunggu sejam siang2 sambil puasa, sampai rumah sinyal 4Gnya gak ada, adanya di kota!, <PROVIDER_NAME>"
negative,<PROVIDER_NAME> datanya kok sering hilang <PROVIDER_NAME>
negative,#internetlelet ÿ<PROVIDER_NAME> ga sesuai iklan 
positive,<PROVIDER_NAME> <PROVIDER_NAME> kangen nih dapat kiriman pos marchandes nya <PROVIDER_NAME> langsung dari pak pos nya 
negative,"yang katanya 150MBPS kecepatanya cuma 3kbps, kuota full. Ga bisa buka google? Udah bikin nguras uang dan baterai? <URL>"
negative,kuota #internet <PROVIDER_NAME> masih banyak tapi koneksi internetnya LAMBAT BANGET! #<PRODUCT_NAME> <PROVIDER_NAME> #4G #lte? <URL>
negative,Ampun... Sinyal 4G <PROVIDER_NAME> lemot seperti siput. Acara live streaming jadi terganggu. Mundur terus <PROVIDER_NAME>
negative,Jaringan <PROVIDER_NAME> di Nabire bagus? Itu hanya berita HOAX #HOAX <PROVIDER_NAME>
negative,Makin jelek jaringan di takalar <PROVIDER_NAME>
positive,Jadi stabil disini. <PROVIDER_NAME> <URL>
positive,#CUG <PROVIDER_NAME> #Community Sangat Cocok Buat Komunikasi Antar :. - Keluarga. - Rekan Bisnis / Kerja. - Sekolah / Kampus. - Hubungan Jarak.
negative,<PROVIDER_NAME> <PROVIDER_NAME> ini kualitas provider <PROVIDER_NAME> gangguan trouble mahal berhari2 #useless4g <URL>
negative,<PROVIDER_NAME> <PRODUCT_NAME> sinyalnya tai...
negative,Jaringan internet <PROVIDER_NAME> di sumba timur parah....
negative,"Dengan ajaib kuota hilang, usage diberikan bahkan bukti penggunaan tidak melebihi batas. <URL>"
negative,"Bertahun tahun pakai <PROVIDER_NAME>. Masa aktif sampai 2018 karena seringnya ""bayar"" untuk dapat pelayanan yang memuaskan"
negative,cepat banget data <PROVIDER_NAME> habis <URL>
negative,<USER_MENTION>: Apa gak kurang tolol namanya. <PROVIDER_NAME> provider gak ada urusan sama semua Chat App! 
negative,"mungkin <PROVIDER_NAME> benar, berarti tinggal #whatsappNotSave <URL>"
positive,"Hore,,, Akhirnya ada sinyal 4G <PROVIDER_NAME> di Sambu"
positive,Alhamdulilah dikunjungi para vendor mitra <PROVIDER_NAME> ke #klinikKUMSda? <URL>
negative,Terlambat ikut <PRODUCT_NAME>... Jelaslah jaringan <PROVIDER_NAME> lemot...
negative,"<PROVIDER_NAME> tega, Menyampaikan pesan kok suka telat,, bikin #BAPER"
